ring,category,family,fraction
Ring1,charge,NEUTRAL,0.8337108086842597
Ring1,charge,CATION,0.08650865984329753
Ring1,charge,ANION,0.07978053147244268
Ring1,size,SMALL,0.6524965101325105
Ring1,size,MEDIUM,0.2497708812377789
Ring1,size,LARGE,0.09773260862971055
Ring2,charge,NEUTRAL,0.5839955072592898
Ring2,charge,CATION,0.2005376916064528
Ring2,charge,ANION,0.21546680113425742
Ring2,size,SMALL,0.5168820224358637
Ring2,size,MEDIUM,0.3955691215131246
Ring2,size,LARGE,0.08754885605101181
Ring3,charge,NEUTRAL,0.36747630515320967
Ring3,charge,CATION,0.39909191468380106
Ring3,charge,ANION,0.23343178016298916
Ring3,size,SMALL,0.4826841124600028
Ring3,size,MEDIUM,0.36822520370291006
Ring3,size,LARGE,0.14909068383708715
Ring4,charge,NEUTRAL,0.2801044611728735
Ring4,charge,CATION,0.47989178851045583
Ring4,charge,ANION,0.24000375031667065
Ring4,size,SMALL,0.5058332543350408
Ring4,size,MEDIUM,0.40708559113244935
Ring4,size,LARGE,0.08708115453250985
Ring5,charge,NEUTRAL,0.2938841304403945
Ring5,charge,CATION,0.4295670020748799
Ring5,charge,ANION,0.27654886748472557
Ring5,size,SMALL,0.4953218577148132
Ring5,size,MEDIUM,0.3929195647693406
Ring5,size,LARGE,0.11175857751584628
Ring6,charge,NEUTRAL,0.2697847494049494
Ring6,charge,CATION,0.43707566882232046
Ring6,charge,ANION,0.2931395817727303
Ring6,size,SMALL,0.5157989339183362
Ring6,size,MEDIUM,0.3701361546584807
Ring6,size,LARGE,0.11406491142318323
Ring7,charge,NEUTRAL,0.2673212841958684
Ring7,charge,CATION,0.4350141240067455
Ring7,charge,ANION,0.297664591797386
Ring7,size,SMALL,0.5101580713147559
Ring7,size,MEDIUM,0.3737408185497116
Ring7,size,LARGE,0.11610111013553256
Ring8,charge,NEUTRAL,0.26125795880647373
Ring8,charge,CATION,0.43908878091514864
Ring8,charge,ANION,0.2996532602783777
Ring8,size,SMALL,0.5022132847764486
Ring8,size,MEDIUM,0.3746000119954487
Ring8,size,LARGE,0.12318670322810288
